Sample	Rsem_mqc-generalstats-rsem-alignable_percent	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Ctrl_1	100.0	94.82	40559187.0						
Ctrl_1_1				67.22474144541138	49.0	150.0	150	27.27272727272727	42776793.0
Ctrl_1_2				65.80521744135031	49.0	150.0	150	27.27272727272727	42776793.0
Ctrl_2	100.0	95.2	40984334.0						
Ctrl_2_1				69.3805920585755	49.0	150.0	150	27.27272727272727	43051589.0
Ctrl_2_2				61.19247503520048	49.0	150.0	150	27.27272727272727	43051589.0
O1O2_KO_1	100.0	95.3	38606827.0						
O1O2_KO_1_1				70.23896840690202	49.0	150.0	150	27.27272727272727	40510879.0
O1O2_KO_1_2				65.28030293466006	49.0	150.0	150	27.27272727272727	40510879.0
O1O2_KO_2	100.0	95.64	45343697.0						
O1O2_KO_2_1				71.16338046699961	49.0	150.0	150	27.27272727272727	47409128.0
O1O2_KO_2_2				67.48015441496514	49.0	150.0	150	27.27272727272727	47409128.0
O1W4_KO_1	100.0	95.7	38979633.0						
O1W4_KO_1_1				71.44622158584235	49.0	150.0	150	27.27272727272727	40729348.0
O1W4_KO_1_2				68.59781610250948	49.0	150.0	150	27.27272727272727	40729348.0
O1W4_KO_2	100.0	96.04	41266619.0						
O1W4_KO_2_1				72.88744049192186	48.0	150.0	150	27.27272727272727	42967544.0
O1W4_KO_2_2				68.44887623177573	48.0	150.0	150	27.27272727272727	42967544.0
O1W4_OE_1	100.0	95.6	40659679.0						
O1W4_OE_1_1				70.10193663132596	48.0	150.0	150	27.27272727272727	42530012.0
O1W4_OE_1_2				65.14609885951093	48.0	150.0	150	27.27272727272727	42530012.0
O1W4_OE_2	100.0	95.42	44057947.0						
O1W4_OE_2_1				71.08056815241322	48.0	150.0	150	27.27272727272727	46174128.0
O1W4_OE_2_2				67.92788064683899	48.0	150.0	150	27.27272727272727	46174128.0
O1_KO_1	100.0	95.23	38508040.0						
O1_KO_1_1				69.16611851980085	48.0	150.0	150	27.27272727272727	40435282.0
O1_KO_1_2				65.88918261177824	48.0	150.0	150	27.27272727272727	40435282.0
O1_KO_2	100.0	95.61	40462578.0						
O1_KO_2_1				70.10947726490595	49.0	150.0	150	27.27272727272727	42320757.0
O1_KO_2_2				65.38917701008187	49.0	150.0	150	18.181818181818183	42320757.0
O1_OE_1	100.0	95.08	39758550.0						
O1_OE_1_1				68.92258956709776	49.0	150.0	150	27.27272727272727	41814125.0
O1_OE_1_2				66.4129533565663	49.0	150.0	150	27.27272727272727	41814125.0
O1_OE_2	100.0	95.97	39192516.0						
O1_OE_2_1				68.76920133658622	49.0	150.0	150	27.27272727272727	40836334.0
O1_OE_2_2				65.28688902863048	49.0	150.0	150	27.27272727272727	40836334.0
O2W4_KO_1	100.0	95.83	47189167.0						
O2W4_KO_1_1				71.18789344764384	49.0	150.0	150	27.27272727272727	49242943.0
O2W4_KO_1_2				68.0126880653258	49.0	150.0	150	27.27272727272727	49242943.0
O2W4_KO_2	100.0	95.79	46665038.0						
O2W4_KO_2_1				71.3983362367883	49.0	150.0	150	27.27272727272727	48717640.0
O2W4_KO_2_2				66.69073870117234	49.0	150.0	150	27.27272727272727	48717640.0
O2_KO_1	100.0	94.98	39944872.0						
O2_KO_1_1				68.51312657762173	49.0	150.0	150	27.27272727272727	42057739.0
O2_KO_1_2				66.43110670889547	49.0	150.0	150	27.27272727272727	42057739.0
O2_KO_2	100.0	95.6	39940213.0						
O2_KO_2_1				70.79743064789227	48.0	150.0	150	27.27272727272727	41777841.0
O2_KO_2_2				65.84753140486494	48.0	150.0	150	27.27272727272727	41777841.0
W4_KO_1	100.0	95.76	40537159.0						
W4_KO_1_1				70.60514744699734	49.0	150.0	150	27.27272727272727	42332897.0
W4_KO_1_2				67.34338696628441	49.0	150.0	150	27.27272727272727	42332897.0
W4_KO_2	100.0	95.88	40808008.0						
W4_KO_2_1				69.76971917525725	49.0	150.0	150	27.27272727272727	42559553.0
W4_KO_2_2				65.65810657074292	49.0	150.0	150	27.27272727272727	42559553.0
W4_OE_1	100.0	95.17	40167706.0						
W4_OE_1_1				71.31947249863558	48.0	150.0	150	27.27272727272727	42207260.0
W4_OE_1_2				68.05335994718122	48.0	150.0	150	27.27272727272727	42207260.0
W4_OE_2	100.0	95.62	39084101.0						
W4_OE_2_1				69.9099093073848	49.0	150.0	150	27.27272727272727	40873169.0
W4_OE_2_2				65.8477004157398	49.0	150.0	150	27.27272727272727	40873169.0
